st_id,st_fname,st_lname,st_address,st_gender,st_Password,email,dept_id,st_DOB
,Saly,Islam,Asyut,Female,244,MostafaShady1913@gmail.com,5,4/5/1993
,Asmaa,Islam,Alexandria,Female,785,ShadyHassan1945@gmail.com,1,29-06-2001
,Saly,Islam,Suez,Female,708,AhmedMohamed2270@gmail.com,2,6/2/2000
,Mwada,Fathy,Alexandria,Female,60,MostafaIslam2012@gmail.com,3,21-09-1997
,Nermeen,Eslam,Suez,Female,625,AliMoaz2273@gmail.com,4,19-01-1995
,Yara,Fathy,Giza,Female,892,AliMohamed1987@gmail.com,5,15-07-1994
,Manar,Moaz,Banha,Female,271,ShadyShady2273@gmail.com,1,27-11-2001
,Nermeen,Ahmed,Luxor,Female,527,MostafaHassan2170@gmail.com,2,4/10/1999
,Saly,Shady,Tanta,Female,346,SalahHassan2078@gmail.com,3,1/5/1993
,Nermeen,Habib,Ismailia,Female,30,EslamGaber2120@gmail.com,4,10/1/2000
,Saly,Fathy,Ismailia,Female,282,RaffatMoaz2201@gmail.com,5,5/7/1998
,Esraa,Khalid,Sohag,Female,10,EslamKhalid2191@gmail.com,1,2/1/2002
,Mariam,Ehab,Cairo,Female,11,MoazEslam1901@gmail.com,2,19-03-2001
,Esraa,Raffat,Banha,Female,225,AhmedEhab2162@gmail.com,3,4/3/1998
,Yara,Islam,Al Minya,Female,777,RaffatAli2209@gmail.com,4,27-01-1995
,Saly,Fathy,Sohag,Female,835,FathyKhalid2077@gmail.com,5,29-05-1996
,Sondos,Ali,Tanta,Female,470,FathyHabib2049@gmail.com,1,28-04-1999
,Asmaa,Ahmed,Giza,Female,85,IslamKhalid2245@gmail.com,2,3/9/2002
,Mariam,Ahmed,Al Fayoum,Female,622,EhabMoaz2204@gmail.com,3,17-07-1999
,Esraa,Hisham,Ismailia,Female,240,ShadyRaffat2065@gmail.com,4,30-06-1997
,Hidy,Hassan,Suez,Female,834,HabibShady2144@gmail.com,5,18-09-2001
,Saly,Islam,Aswan,Female,390,KhalidMoaz1994@gmail.com,1,6/7/1999
,Manar,Habib,Asyut,Female,765,ShadyMoaz1973@gmail.com,2,6/6/1994
,Manar,Islam,Asyut,Female,633,MoazShady2139@gmail.com,3,12/3/1997
,Mariam,Habib,Cairo,Female,27,IslamShady2007@gmail.com,4,8/4/1999
,Mwada,Habib,Luxor,Female,351,IslamMoaz2176@gmail.com,5,5/2/2001
,Hidy,Shady,Banha,Female,206,FathyMoaz2087@gmail.com,1,10/5/2000
,Mariam,Habib,Suez,Female,452,EhabAli2004@gmail.com,2,15-01-1995
,Sondos,Hassan,Alexandria,Female,265,KhalidAhmed2001@gmail.com,3,30-10-1997
,Yara,Habib,Qena,Female,449,GaberRaffat2230@gmail.com,4,5/8/1994
,Saly,Hassan,Qena,Female,133,SalahKhalid2032@gmail.com,5,26-11-2002
,Yara,Salah,Banha,Female,457,EslamEhab2247@gmail.com,1,28-08-1995
,Hidy,Gaber,Sohag,Female,901,HabibEslam2232@gmail.com,2,6/6/2003
,Yara,Eslam,Ismailia,Female,374,SalahHassan1979@gmail.com,3,16-06-2001
,Sondos,Ahmed,Ismailia,Female,303,GaberKhalid2239@gmail.com,4,29-05-1993
,Manar,Gaber,Cairo,Female,523,HishamKhalid2138@gmail.com,5,3/8/1996
